# Nq, RMSE
1.540000000000000000e+02,1.099474351450133447e-01
3.960000000000000000e+02,5.412488604201127346e-02
6.060000000000000000e+02,4.481920745967091918e-02
1.420000000000000000e+03,2.692683068658668563e-02
1.630000000000000000e+03,2.510596286991575304e-02
3.588000000000000000e+03,1.493171880415690433e-02
3.910000000000000000e+03,1.193570039271683522e-02
8.332000000000000000e+03,6.841081155961833450e-03
9.102000000000000000e+03,5.139454088082629629e-03
1.915600000000000000e+04,3.275838388973328040e-03
2.082200000000000000e+04,2.547186662364431427e-03
4.354800000000000000e+04,1.378402262053642817e-03
4.702800000000000000e+04,1.226967685804180403e-03
9.791400000000000000e+04,7.526600060910007984e-04
1.014240000000000000e+05,6.719834926956343114e-04
2.086300000000000000e+05,4.664210622712764180e-04
2.193600000000000000e+05,3.645203081064401682e-04
4.504700000000000000e+05,2.149242604328430064e-04
